Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 18:00:00+00:00,95.13500213623047,95.22000122070312,95.01000213623047,95.19999694824219,7666511,623.655029296875,624.9600219726562,623.5,624.4099731445312,199664,303.3699951171875,303.8299865722656,303.03948974609375,303.6997985839844,198684,209.9499969482422,210.77999877929688,209.9342041015625,210.6300048828125,655390,252.2198944091797,252.50999450683594,252.16000366210938,252.1999969482422,6085577
2026-03-16 18:15:00+00:00,95.20500183105469,95.23999786376953,94.99500274658203,95.05000305175781,394651,624.4199829101562,626.8699951171875,624.2301025390625,626.864990234375,236624,303.70001220703125,303.9599914550781,303.4100036621094,303.70001220703125,165901,210.63999938964844,211.21499633789062,210.52000427246094,211.00399780273438,712306,252.22479248046875,252.9199981689453,252.1300048828125,252.9199981689453,507504
2026-03-16 18:30:00+00:00,95.04000091552734,95.12999725341797,94.9749984741211,95.12000274658203,367140,626.8499755859375,627.530029296875,626.010009765625,627.4400024414062,3952169,303.67498779296875,304.31500244140625,303.614990234375,304.2550048828125,3218944,211.0,211.82000732421875,210.9199981689453,211.7135009765625,917158,252.9219970703125,253.1320037841797,252.82000732421875,252.97500610351562,6352560
2026-03-16 18:45:00+00:00,95.125,95.19000244140625,95.05000305175781,95.11990356445312,294759,627.4450073242188,628.1500244140625,627.3099975585938,627.7399291992188,147080,304.3399963378906,304.5700988769531,304.2300109863281,304.3800048828125,145313,211.72000122070312,212.01499938964844,211.3679962158203,211.63999938964844,927112,252.97500610351562,253.00160217285156,252.61000061035156,252.74000549316406,6505437
2026-03-16 19:00:00+00:00,95.11499786376953,95.37999725341797,95.1050033569336,95.20999908447266,590525,627.739990234375,628.639892578125,626.030029296875,627.1699829101562,247202,304.3699951171875,304.8399963378906,303.6600036621094,304.0,319954,211.64500427246094,212.7239990234375,211.63999938964844,212.07000732421875,1075617,252.74000549316406,253.44000244140625,252.52000427246094,252.6699981689453,655282
2026-03-16 19:15:00+00:00,95.21499633789062,95.38999938964844,95.1500015258789,95.37000274658203,533999,627.0599975585938,627.969970703125,625.6900024414062,627.5150146484375,4349759,304.0,305.0299987792969,303.9700012207031,304.94000244140625,268891,212.05990600585938,212.41000366210938,211.85000610351562,212.3800048828125,1028339,252.67999267578125,252.97999572753906,252.27000427246094,252.86199951171875,598504
2026-03-16 19:30:00+00:00,95.375,95.46499633789062,95.13500213623047,95.20999908447266,615329,627.4299926757812,628.2100219726562,626.780029296875,627.0599975585938,173974,304.8949890136719,305.05999755859375,303.9700012207031,304.0827941894531,253186,212.35000610351562,212.4499969482422,211.80999755859375,211.9199981689453,1045282,252.83999633789062,253.05999755859375,252.17999267578125,252.375,7865491
2026-03-16 19:45:00+00:00,95.20500183105469,95.38999938964844,95.15499877929688,95.19999694824219,1848874,627.0599975585938,628.1199951171875,626.655029296875,627.6300048828125,599580,304.1099853515625,304.5899963378906,303.8999938964844,304.42999267578125,4492916,211.9149932861328,212.24000549316406,211.10000610351562,211.75999450683594,14157486,252.3699951171875,252.97000122070312,252.11000061035156,252.77999877929688,1442022
2026-03-17 13:30:00+00:00,95.30000305175781,95.93000030517578,94.95999908447266,95.83499908447266,1611698,628.530029296875,636.5499877929688,628.0,633.14501953125,945125,304.6499938964844,306.3999938964844,304.3699951171875,304.8900146484375,823304,212.88499450683594,214.72000122070312,212.42999267578125,213.30999755859375,2550180,253.07850646972656,254.4199981689453,252.17999267578125,254.22000122070312,2350517
2026-03-17 13:45:00+00:00,95.83000183105469,96.33999633789062,95.70500183105469,95.7699966430664,3301557,632.9600219726562,635.4500122070312,631.8900146484375,632.4650268554688,844355,304.9200134277344,306.2200012207031,304.8999938964844,305.2330017089844,756245,213.27999877929688,214.8350067138672,213.2550048828125,214.1999969482422,1583290,254.21499633789062,255.0749969482422,254.18499755859375,254.6999969482422,704463
2026-03-17 14:00:00+00:00,95.77999877929688,95.9000015258789,95.41999816894531,95.51000213623047,388324,632.4550170898438,632.7299194335938,629.52001953125,629.7249755859375,985108,305.2200012207031,306.0,305.1700134277344,305.2799987792969,269827,214.2100067138672,214.4799041748047,213.57000732421875,213.79989624023438,3036820,254.69000244140625,254.77999877929688,254.0800018310547,254.14999389648438,1829347
2026-03-17 14:15:00+00:00,95.50499725341797,95.75,95.33499908447266,95.65499877929688,2386763,629.7650146484375,630.6799926757812,629.0,630.0549926757812,1045012,305.260009765625,306.2900085449219,304.9100036621094,305.93499755859375,1042660,213.77000427246094,214.06649780273438,213.4499969482422,213.68499755859375,590703,254.14999389648438,254.47000122070312,253.7899932861328,254.44000244140625,1603260
2026-03-17 14:30:00+00:00,95.66000366210938,95.71499633789062,95.21499633789062,95.43499755859375,431788,629.833984375,630.77001953125,628.4500732421875,630.6099853515625,1148378,305.94000244140625,306.6700134277344,305.7149963378906,306.2099914550781,252138,213.69000244140625,214.05999755859375,213.24000549316406,214.02000427246094,3612737,254.47999572753906,254.9499969482422,254.27000427246094,254.55999755859375,1940642
2026-03-17 14:45:00+00:00,95.44000244140625,95.58999633789062,95.37010192871094,95.52999877929688,375657,630.7000122070312,631.0,629.3599853515625,629.625,145882,306.20001220703125,306.3349914550781,305.6000061035156,305.6773986816406,246118,214.02999877929688,214.1300048828125,213.6199951171875,213.97000122070312,343306,254.5449981689453,254.69000244140625,254.25999450683594,254.3988037109375,1986736
2026-03-17 15:00:00+00:00,95.52999877929688,95.68000030517578,95.2750015258789,95.34190368652344,348906,629.5850219726562,629.780029296875,626.1699829101562,626.2849731445312,240233,305.6700134277344,305.92999267578125,305.2803039550781,305.5299987792969,213785,213.9600067138672,214.14999389648438,213.60000610351562,213.72000122070312,549379,254.3800048828125,254.58999633789062,253.80079650878906,254.17999267578125,345679
2026-03-17 15:15:00+00:00,95.34500122070312,95.51000213623047,95.31999969482422,95.3550033569336,377389,626.260009765625,627.2000122070312,625.239990234375,625.3900146484375,1422917,305.489990234375,306.04998779296875,305.2898864746094,305.32000732421875,236729,213.6999969482422,214.2899932861328,213.69000244140625,213.889892578125,4380038,254.19000244140625,254.47000122070312,254.02000427246094,254.1699981689453,301908
